BA39858,585.32
LS22371,595.05
PQ81824,488.44
VI12194,251.26
RD39616,502.78
PW25595,184.72
LD59205,192.2
HI50012,446.57
EW15649,345.79
DO57335,995.89
FN09108,149.84
BS72372,840.18
NS88125,751.59
UR39697,212.28
RV26564,252.18
BD32092,678.13
NX60518,973.98
GB60677,348.53
LH94581,976.74
PJ22824,537.86
PN11175,894.28
WG48226,145.17
ES48148,488.75
HD98048,906.74
QJ18032,344.02
MX67049,230.64
US01412,548.31
CV61403,945.85
DG73843,137.6
LF93134,219.55
MX80974,953.23
NY01567,193.99
HI92995,708.49
CR39585,376.01
KS15429,315.58
FM43439,881.87
VJ34013,307.81
OD29763,145.17
VN60999,846.05
KQ73119,749.31
SQ70112,553.66
ST30963,931.83
BI55660,780.48
NK90390,357.48
UJ42735,127.62
IT22043,413.82
LM59133,326.19
PU22040,295.51
XD79216,407.4
DF85151,596.64
UH63045,206.52
CL47461,523.26
TB16609,247.86
MP81797,620.31
KZ24089,227.77
QK86233,619.04
BH83249,523.69
JA69300,179.01
AZ83268,821.86
PP65623,400.16
SL84743,281.2
CC17899,582.37
VH16632,285.64
FR15017,248.85
PY68565,808.75
MG65290,343.14
KK93905,911.3
CN94938,254.75
CP19307,169.24
JW50898,516.24
AA23326,692.03
TM02758,640.12
VT12022,860.87
GA03704,151.79
PA48916,655.6
CP62203,293.22
KX30922,332.96
ET86856,219.56
XX21426,825.74
ZT32731,207.63
ID67803,657.76
MX20985,156.63
OT29056,307.53
OG71348,588.46
SX69962,420.81
LS02885,319.13
HZ42149,240.29
OH12298,349.25
ML65230,206.73
AT31099,423.06
BM80882,483.81
ZV35149,412.11
BM07661,332.36
DE22720,397.63
XI94139,866.39
HZ02888,661.16
HH49296,973.1
HJ32239,743.02
MS76927,983.04
KI68504,310.97
IE97103,835.73
RF27235,294.83
VE09152,342.23
RY45915,235.88
ZG64871,554.18
NB04735,697.07
VT95799,510.68
TH19138,841.66
ZN09095,681.11
LB66628,405.82
VV45093,495.11
PC37466,726.02
EL95391,667.3
CR61688,656.21
LA50224,993.63
PN38666,491.43
DE06171,882.89
XQ36913,384.18
KI48897,743
HX51938,419.88
AA48820,441.42
JZ43380,212.18
RP78091,907.61
WE70608,133.07
BV41576,606.83
LE35768,494.44
LH30120,562.37
MP14329,130.34
EP59977,691.84
XT31985,946.64
AT62741,852.57
XT44563,268.08
GT86402,111.21
JB91553,712.29
WO79073,852.38
GB89303,829.36
ER31512,539.53
BR57284,732.83
MV66871,891.57
OZ78153,565.51
YW85040,752.1
XJ52779,146.93
AD20361,196.96
TM70111,189.73
QX09048,876.12
EV41255,700.66
JA31543,895.16
HK57548,398.83
WR21563,139.91
GZ70652,787.34
FJ74924,944.18
ZH08854,330.79
WR24096,606.23
IB56522,429.92
ZV31931,275.81
OR59276,748.38
ZP71027,224.67
UD13116,577.02
DS59263,498.06
FR42713,424.52
LS19849,919.24
KB12118,334.28
VF30661,459.52
SD39118,802.05
CW64133,684.07
EI97568,902.24
GB14392,676.71
AM67556,776.72
ST47759,282.93
AD78773,487.41
YB11187,484.58
XA58344,143.76
VQ25351,963.15
JB86071,473.15
TA50357,689.25
LI46195,223.19
WS69104,837.4
GC25469,942.82
CA56775,238.82
OA39675,572.76
NK90248,412.43
FQ71749,725.67
