SW16011,680.83
WW47299,176
IG27311,904.03
YN04192,904.29
XU90902,539.31
ZO21124,456.31
LP40039,588.49
XI28738,483.1
ML46071,546.88
GP29016,362.27
DE92260,170.35
IF67855,577.83
WL35313,299.94
QU46243,844.45
TD05787,898.86
EF84178,818.21
VN25827,876.4
ML96843,440.93
SF41196,494.79
SN67654,199.13
XL40592,769.07
DU75192,117.78
PP45745,483.14
DJ51026,511.34
MB03397,681.88
WN38216,330.06
EH20269,330.53
QZ43551,597
DG58758,955.65
MH94821,211.88
OM37479,838.42
BZ86093,459.69
NO98483,144.25
HI44739,341.37
TX59050,237.84
KG53752,157.65
AE46113,179.07
KH62610,926.52
OK15121,395.42
JY87043,471.64
ZG18098,964.54
TP95421,543.46
SZ32306,440.37
XL82784,629.97
CG55964,671.32
CB73090,161.15
OL00216,528.77
CL95795,552.85
NP76746,259.03
WG33910,724.41
CF67868,708.36
UN01453,682.17
PT15399,903.46
LT93153,864.46
EF50261,646.61
XM37964,494.36
EL48760,200.59
OM50564,244.47
TU25218,160.01
FZ55918,902.31
FE61134,180.83
RO92967,440.61
MC84672,634.32
JU09708,877.71
SX43098,100.06
RR44340,482.76
CB56727,741.93
NX74769,205.36
WO19802,468.67
QX47946,911.4
WD26723,406.99
LE70807,863.81
LP37568,511.29
WM65757,501.72
XC97518,752.72
KH35682,556.08
LG77334,350.66
EK22691,918.57
OF76350,120.05
UC67779,368.22
ZO69291,946.95
YE02576,384.49
LV62581,838.06
EC00980,703.19
ZF03764,921.52
AN15562,406.17
IP56167,456.19
KR29150,381.17
IY24480,809.66
OB54465,767.67
YU40937,823.41
UP37454,481.62
EH88467,226.02
PF00951,681.93
PI63223,130.15
JO50546,807.49
EY59610,113.55
FN10591,240.94
EC74568,209.72
HB10178,566.44
